terms,level_1,level_2,level_3,type,Number
metabolite_utilization.maltose.degradation,metabolite_utilization,degradation,maltose,0,10
metabolite_utilization.mannitol.builds_acid_from,metabolite_utilization,builds_acid_from,mannitol,0,10
metabolite_utilization.salicin.degradation,metabolite_utilization,degradation,salicin,0,10
metabolite_utilization.D-xylose.degradation,metabolite_utilization,degradation,D-xylose,0,9
metabolite_utilization.glucose.fermentation,metabolite_utilization,fermentation,glucose,0,9
metabolite_utilization.lysine.degradation,metabolite_utilization,degradation,lysine,0,9
metabolite_utilization.malonate.assimilation,metabolite_utilization,assimilation,malonate,0,9
metabolite_utilization.D-fructose.degradation,metabolite_utilization,degradation,D-fructose,0,7
metabolite_utilization.D-glucose.degradation,metabolite_utilization,degradation,D-glucose,0,7
metabolite_utilization.sorbitol.fermentation,metabolite_utilization,fermentation,sorbitol,0,7
metabolite_utilization.acetate.assimilation,metabolite_utilization,assimilation,acetate,0,6
metabolite_utilization.mannose.fermentation,metabolite_utilization,fermentation,mannose,0,6
metabolite_utilization.propionate.assimilation,metabolite_utilization,assimilation,propionate,0,5
metabolite_utilization.arabinose.fermentation,metabolite_utilization,fermentation,arabinose,0,4
metabolite_utilization.cellobiose.fermentation,metabolite_utilization,fermentation,cellobiose,0,4
metabolite_utilization.mannitol.fermentation,metabolite_utilization,fermentation,mannitol,0,4
metabolite_utilization.myo-inositol.fermentation,metabolite_utilization,fermentation,myo-inositol,0,4
metabolite_utilization.succinate.assimilation,metabolite_utilization,assimilation,succinate,0,4
metabolite_utilization.trehalose.fermentation,metabolite_utilization,fermentation,trehalose,0,4
metabolite_utilization.L-rhamnose.fermentation,metabolite_utilization,fermentation,L-rhamnose,0,3
metabolite_utilization.melibiose.fermentation,metabolite_utilization,fermentation,melibiose,0,3
metabolite_utilization.raffinose.growth,metabolite_utilization,growth,raffinose,0,3
metabolite_utilization.sodium_thiosulfate.builds_gas_from,metabolite_utilization,builds_gas_from,sodium_thiosulfate,0,3
metabolite_utilization.xylose.fermentation,metabolite_utilization,fermentation,xylose,0,3
metabolite_utilization.amygdalin.fermentation,metabolite_utilization,fermentation,amygdalin,0,2
metabolite_utilization.glucose.degradation,metabolite_utilization,degradation,glucose,0,2
metabolite_utilization.phenol.degradation,metabolite_utilization,degradation,phenol,0,2
metabolite_utilization.ribose.builds_acid_from,metabolite_utilization,builds_acid_from,ribose,0,2
metabolite_utilization.tributyrin.hydrolysis,metabolite_utilization,hydrolysis,tributyrin,0,2
metabolite_utilization.acetate.carbon_source,metabolite_utilization,carbon_source,acetate,0,1
metabolite_utilization.lactose.carbon_source,metabolite_utilization,carbon_source,lactose,0,1
metabolite_utilization.L-arabinose.fermentation,metabolite_utilization,fermentation,L-arabinose,0,1
metabolite_utilization.mannitol.carbon_source,metabolite_utilization,carbon_source,mannitol,0,1
metabolite_utilization.mannose.growth,metabolite_utilization,growth,mannose,0,1
metabolite_production.nitrite.,metabolite_production,,nitrite,0,1
metabolite_utilization.raffinose.carbon_source,metabolite_utilization,carbon_source,raffinose,0,1
metabolite_utilization.succinate.carbon_source,metabolite_utilization,carbon_source,succinate,0,1
